kurum,kod,ad,ana_grup,kapsam,carpisan_konu_sayisi,toplam_konu,carpisma_orani,guvenlik,carpisan_konular
belediye,105.04,Meclis Kararları,105,kuruma_ozel,8,438,1.83,orta,050.04::Kararın Uygulanması Hk.|050.04::Kararın İlgililere Tebliği|752.01::Kamulaştırma İşlemine İtiraz|755.02::İhaleye İtiraz Başvurusu|858::İdari Para Cezasına İtiraz|110.04::Karara İtiraz Başvurusu|115.02.11::Encümen Cezasına İtiraz|190.01::Tarh İşlemine İtiraz
belediye,190.01.07,Emlak Vergisi,190,kuruma_ozel,8,438,1.83,orta,050.04::Karar Düzeltme Talebi|752::Bedel Tespit Komisyonu Kararı|752.01::Kamulaştırma Bedeli Ödeme Talebi|752.01::Bedel Tespit ve Tescil Davası Hk.|756::Kayıt Düzeltme Talebi|855::Ödeme Emri Tebliği|115.02.10::Adres Tespiti Hk.|115.02.10::Yanlış Adres Kaydının Düzeltilmesi
belediye,756,Taşınmaz İşleri,756,ortak,9,438,2.05,orta,050.04::Karar Düzeltme Talebi|051::Etkinlik Salonu Tahsis Talebi|801::Hizmet Aracı Tahsis Talebi|801::Taşıt Kayıt ve Sigorta İşlemleri|807.01::Boya Badana İşleri Hk.|115::İmar Arşivi Kayıt Sorgusu|115.02.10::Adres Kayıt Sistemi Güncellemesi|120::Kurs Kayıt Duyurusu|190.01.07::Vergi Değeri Düzeltme Talebi
belediye,802,Ulaşım ve Servis İşleri,802,ortak,9,438,2.05,orta,641::Vekâletname Düzenlenmesi|801::Hizmet Aracı Tahsis Talebi|801::Araç Görevlendirmesi|807::Bakım Sözleşmesi Yenilenmesi|807.01::Boya Badana İşleri Hk.|934.01::Alım Miktarının Artırılması|120.02::Engelli Aracı Talebi|120.02::Evde Bakım Hizmeti Başvurusu|155.01::Ambalaj Atığı Toplama Sözleşmesi
belediye,855,Borç ve Alacak İşleri,855,ortak,9,438,2.05,orta,050.04::Kararın İlgililere Tebliği|752.01::Kamulaştırma Bedeli Ödeme Talebi|756.02::Satış Bedelinin Taksitlendirilmesi Talebi|807.01::Boya Badana İşleri Hk.|858::Tutanağın Tebliği Hk.|110.04::Encümen Kararının Tebliği|190::Tahsilat Bilgisi Talebi|190::Tahsilat Cetvelinin Gönderilmesi|190.01.07::Taksit Ödeme Bilgisi
belediye,115.01.06,Uygulama İmar Planı,115,kuruma_ozel,9,438,2.05,orta,010::Uygulama Birliğinin Sağlanması|045::Uygulama Tereddüdü Hk.|755::Keşif Artışı Onayı|756.02::Kira Bedeli Artışı Hk.|805::Standart Dosya Planı Uygulaması|805::Dosya Planı Güncellemesi|755.01::Uygulama Projesi Revizyonu|841::Bütçe Uygulama Talimatı|115.02.04::Yapı Ruhsatı Tadilatı Hk.
belediye,805.02,Arşiv Yönetimi,805,ortak,10,438,2.28,orta,602::Yıllık Çalışma Programı|752::Bedel Tespit Komisyonu Kararı|755::Yapım İşi Devir Talebi|755.02::İhale Komisyonu Kararı|756.01::Taşınmaz Devir İşlemi Hk.|756.01::Bedelsiz Devir Talebi|807::Yıllık Bakım Onarım Programı|934.01::Kırtasiye Malzemesi Alımı|170.01::Ruhsat Devir Talebi|170.01::Faaliyet Konusu Değişikliği
belediye,602.07,Yatırım Programı,602,ortak,10,438,2.28,orta,602.04::Stratejik Plan İzleme Raporu|755.01::Etüt Proje Hazırlanması Talebi|755.01::Proje Müellifi Değişikliği|755.01::Mimari Proje Görüşü|807::Yıllık Bakım Onarım Programı|841::Ödenek Aktarma Talebi|841::Ek Ödenek Talebi|841.01::Ödenek Talebi|934::Ödenek Durumu Sorgusu|120::Kurs ve Etkinlik Programı
belediye,756.01,"Tahsis, Devir ve Takas",756,ortak,10,438,2.28,orta,010.06::Genelgenin Yürürlükten Kaldırılması|051::Etkinlik Salonu Tahsis Talebi|755::Yapım İşi Devir Talebi|756.02::Taşınmaz Kiralama Talebi|756.02::Taşınmaz Satış İhalesi Hk.|805::Devir Teslim Tutanağı|805.02::Arşiv Devir Teslim İşlemleri|801::Hizmet Aracı Tahsis Talebi|858::Cezanın Kaldırılması Talebi|170.01::Ruhsat Devir Talebi
belediye,115.01,Planlama ve Uygulama,115,kuruma_ozel,10,438,2.28,orta,010::Uygulama Birliğinin Sağlanması|010::Mevzuat Hükmünün Yorumlanması|045::Uygulama Tereddüdü Hk.|602::Planlama Çalışmalarına Katkı Talebi|755.02::İhale İlanı Hk.|805::Standart Dosya Planı Uygulaması|805::Dosya Planı Güncellemesi|755.01::Uygulama Projesi Revizyonu|841::Bütçe Uygulama Talimatı|190::Vergi ve Harç Uygulaması Hk.
belediye,115.01.08,İfraz ve Tevhid / Yola Terk / İrtifak Hakkı vb.,115,kuruma_ozel,10,438,2.28,orta,622.02::Talep Edilen Belgenin Gönderilmesi|641::Dava Dosyasının Gönderilmesi|752::İrtifak Hakkı Tesisi Talebi|903::Özlük Dosyası Bilgi Talebi|903::Disiplin Dosyası Bilgisi|110::Encümene Havale Edilen Dosya|110::Dosyanın Encümene Sevki|115.02::Ruhsat Dosyası Bilgi Talebi|125::Evlenme Dosyasının İncelenmesi|170::Ruhsat Dosyası Bilgi Talebi
belediye,155.01,Atık Yönetimi,155,kuruma_ozel,10,438,2.28,orta,773::Staj Yerinin Değiştirilmesi|805::Belge Yönetimi Eğitimi Hk.|805.02.05::Arşiv Belgesi Araştırma Talebi|802::Servis Sözleşmesi Hk.|807::Bakım Sözleşmesi Yenilenmesi|903::Hizmet Belgesi Talebi|115.02.01::İmar Durum Belgesi Talebi|115.02.08::Yapı Kullanma İzin Belgesi Talebi|115.02.10::Numarataj Belgesi Talebi|125::Evlenme Ehliyet Belgesi Talebi
belediye,180.03,İtfaiye Uygunluk Raporları,180,kuruma_ozel,10,438,2.28,orta,045.02::Uygulamanın Hukuka Uygunluğu Hk.|805.02.05::Arşivde İnceleme Randevusu|801::Araç Muayene Randevusu|815::Sosyal İnceleme Raporu Talebi|115::Teknik İnceleme Talebi|115.02.04::Ruhsat Yenileme Talebi|115.02.08::İskan Öncesi Kontrol Randevusu|115.02.08::Eksikliklerin Giderilmesi Hk.|115.02.11::Aykırılığın Giderilmesi Süresi|175::Muayene Randevusu Hk.
belediye,602.04,Stratejik Plan,602,ortak,11,438,2.51,orta,010::Yönetmelik Taslağı Hakkında Görüş|010.06::Genelge Taslağı Hakkında Görüş|045::Konu Hakkında Değerlendirme Talebi|045.02::İhtilaflı Hususta Değerlendirme Talebi|050::Kurul Toplantı Daveti|051::Panel Konuşmacı Daveti|051::Koordinasyon Toplantısı Daveti|752.01::Uzlaşma Görüşmesi Daveti|773::Staj Değerlendirme Formunun Gönderilmesi|602.07::Yatırım İzleme Raporu|105::Meclis Toplantı Daveti
belediye,622.01,"Bilgi Edinme, Talep ve Şikayetler",622,ortak,11,438,2.51,orta,010::Mevzuat Bilgi Sistemi Güncellemesi|641::Savunmaya Esas Bilgi ve Belge Talebi|641.04::Dava Konusu İşleme İlişkin Bilgi|805.02.05::Araştırma Talebinin Reddi Hk.|815::Yardım Başvurusunun Değerlendirilmesi|903::Özlük Dosyası Bilgi Talebi|903::Personel Bilgi Formunun Gönderilmesi|115::İmar Dosyası Bilgi Talebi|115.02::Ruhsat Dosyası Bilgi Talebi|115.02.01::İmar Durumu Bilgi Talebi|170::Ruhsat Dosyası Bilgi Talebi
belediye,622.02,Belge Talepleri,622,ortak,11,438,2.51,orta,641::Savunmaya Esas Bilgi ve Belge Talebi|641.04::Savunmaya Esas Belge Talebi|805::Belge Yönetimi Eğitimi Hk.|805::Elektronik Belge Yönetim Sistemi Hk.|805.02.05::Arşivden Suret Talebi|805.02.05::Belgenin Dijital Kopyasının Gönderilmesi|110::Encümene Havale Edilen Dosya|115.01.08::Encümene Sevk Edilen İfraz Dosyası|125::Yabancı Uyruklu Eş İçin Belge Talebi|125::Nikâh Ücreti Hk.|175::Muayene Ücreti Hk.
belediye,755.02,İhale,755,ortak,11,438,2.51,orta,752::Bedel Tespit Komisyonu Kararı|752.01::Kamulaştırma İşlemine İtiraz|805.02::Ayıklama ve İmha Komisyonu Kurulması|858::İdari Para Cezasına İtiraz|934.01::Mal Alımı İhale Onayı|105.04::Karar Aleyhine İtiraz|110.04::Karara İtiraz Başvurusu|115::İmar Uygulaması Askı İlanı|115.01::İmar Planı Askı İlanı|115.02.11::Encümen Cezasına İtiraz|190.01::Tarh İşlemine İtiraz
belediye,756.02,Satış ve Kiralama,756,ortak,11,438,2.51,orta,752.01::Kamulaştırma Bedeli Ödeme Talebi|755::Keşif Artışı Onayı|756.01::Taşınmaz Devir İşlemi Hk.|801::İş Makinesi Kiralama Talebi|807::Bakım Sözleşmesi Yenilenmesi|855::Borcun Taksitlendirilmesi|934::Alım İhalesi Hk.|115.01.06::Yoğunluk Artışı Talebi|115.02.01::İmar Durumunun Yenilenmesi|190.01::Vergi Tahakkuku Hk.|190.01::Harç Bedeli Bilgisi Talebi
belediye,934,Alım İşi,934,ortak,11,438,2.51,orta,756.02::Taşınmaz Satış İhalesi Hk.|602.07::Ödenek Aktarma Talebi|801::Hizmet Aracı Tahsis Talebi|841::Ödenek Aktarma Talebi|841::Ek Ödenek Talebi|841.01::Ödenek Talebi|903::Hizmet Belgesi Talebi|115::İmar Arşivi Kayıt Sorgusu|115::Teknik İnceleme Talebi|115.02.01::Emsal ve Kat Adedi Sorgusu|115.02.10::Bina Kod Numarası Sorgusu
belediye,110.04,Encümen Kararları,110,kuruma_ozel,11,438,2.51,orta,050.04::Kararın İlgililere Tebliği|752.01::Kamulaştırma İşlemine İtiraz|755.02::İhaleye İtiraz Başvurusu|855::Ödeme Emri Tebliği|858::İdari Para Cezasına İtiraz|858::Para Cezası Tahsilatı Hk.|858::Tutanağın Tebliği Hk.|105.04::Karar Aleyhine İtiraz|115.02.11::Yıkım Kararının Uygulanması|115.02.11::Encümen Cezasına İtiraz|190.01::Tarh İşlemine İtiraz
belediye,175,Ölçü ve Ölçü Aletleri ile İlgili İşler,175,kuruma_ozel,11,438,2.51,orta,622::Süresi İçinde Cevaplanmayan Başvuru Hk.|622.02::Suret Onay Ücreti Hk.|805::Saklama Süresi Hakkında Görüş|805.02.05::Arşivde İnceleme Randevusu|801::Araç Muayene Randevusu|934.01::Muayene ve Kabul İşlemleri|115.02.08::İskan Öncesi Kontrol Randevusu|115.02.11::Aykırılığın Giderilmesi Süresi|125::Nikâh Ücreti Hk.|180.03::Yerinde İnceleme Randevusu|190.01::Beyan Süresi Duyurusu
belediye,050,Kurul İşleri,050,ortak,12,438,2.74,orta,051::Toplantı Tarihi Değişikliği|051::Panel Konuşmacı Daveti|051::Koordinasyon Toplantısı Daveti|602.04::Stratejik Plan Çalıştayı Daveti|752.01::Uzlaşma Görüşmesi Daveti|807.01::Boya Badana İşleri Hk.|105::Meclis Toplantı Daveti|105::Meclis Üyeliği Hk.|105::Meclis Toplantı Tutanağı|110::Encümen Gündemi|110::Encümen Üyeliği Bildirimi|110::Encümen Toplantı Tutanağı
belediye,807,Bakım ve Onarım İşleri,807,ortak,12,438,2.74,orta,050.04::Alınan Kararların Özeti|602::Yıllık Çalışma Programı|755::Keşif Artışı Onayı|756.02::Kira Sözleşmesinin Yenilenmesi|805.02::Yıllık Arşiv Faaliyet Bildirimi|602.07::Yatırım Programı Teklifi|602.07::Yatırım Programı Revizyon Talebi|802::Servis Sözleşmesi Hk.|115.02.01::İmar Durumunun Yenilenmesi|120::Kurs ve Etkinlik Programı|120.02::Evde Bakım Hizmeti Başvurusu|155.01::Ambalaj Atığı Toplama Sözleşmesi
belediye,755,Yapım İşleri,755,ortak,13,438,2.97,dusuk,045.02::Sözleşme Metni Hakkında Görüş|051::Etkinlik Programının Gönderilmesi|756.02::Kira Bedeli Artışı Hk.|773::Staj Kabul Yazısı Talebi|805::Devir Teslim Tutanağı|805.02::Arşiv Devir Teslim İşlemleri|756.01::Taşınmaz Devir İşlemi Hk.|756.01::Bedelsiz Devir Talebi|807::Onarım Keşif Özeti|807.01::Boya Badana İşleri Hk.|934.01::Muayene ve Kabul İşlemleri|115.01.06::Yoğunluk Artışı Talebi|170.01::Ruhsat Devir Talebi
belediye,934.01,Mal Alım İşi,934,ortak,13,438,2.97,dusuk,755::Geçici Kabul İşlemleri|755.02::İhale İlanı Hk.|755.02::İhale Komisyonu Kararı|755.02::İhale Sonucunun Bildirilmesi|755.02::İhale Dokümanı Talebi|773::Staj Kabul Yazısı Talebi|805.02::Arşiv Malzemesi Bildirimi|801::Araç Muayene Randevusu|802::Servis Kapasitesinin Artırılması|115::Teknik İnceleme Talebi|175::Periyodik Muayene Talebi|175::Muayene Randevusu Hk.|175::Muayene Ücreti Hk.
belediye,115.02.04,Yapı Ruhsatı,115,kuruma_ozel,13,438,2.97,dusuk,115.01.06::Plan Tadilatı Başvurusu|115.02.08::İskan Ruhsatı Başvurusu|115.02.08::İskan Harcı Hesabı|170::İşyeri Ruhsat İşlemleri Hk.|170::Ruhsat Denetimi|170::Ruhsat Dosyası Bilgi Talebi|170::Ruhsat İptali İşlemi|170.01::İşyeri Açma ve Çalışma Ruhsatı Başvurusu|170.01::Ruhsat Devir Talebi|170.01::Hafta Tatili Ruhsatı Talebi|170.01::Ruhsat Sureti Talebi|180.03::Uygunluk Raporu Yenileme Talebi|190.01::Harç İadesi Talebi
belediye,120,Kültürel ve Sosyal İşler,120,kuruma_ozel,13,438,2.97,dusuk,051::Etkinlik Salonu Tahsis Talebi|051::Etkinlik Programının Gönderilmesi|602::Yıllık Çalışma Programı|756::Kayıt Düzeltme Talebi|602.07::Yatırım Programı Teklifi|602.07::Yatırım Programı Revizyon Talebi|801::Taşıt Kayıt ve Sigorta İşlemleri|807::Yıllık Bakım Onarım Programı|815::Sosyal Yardım Başvurusu|815::Sosyal İnceleme Raporu Talebi|115::İmar Arşivi Kayıt Sorgusu|115.02.10::Adres Kayıt Sistemi Güncellemesi|125::Nikâh Salonu Tahsisi
belediye,190.01,Vergi ve Harçlar,190,kuruma_ozel,14,438,3.2,dusuk,622::Süresi İçinde Cevaplanmayan Başvuru Hk.|752.01::Kamulaştırma Bedeli Ödeme Talebi|752.01::Kamulaştırma İşlemine İtiraz|755.02::İhaleye İtiraz Başvurusu|756.02::Kira Bedeli Artışı Hk.|756.02::İşgal Bedeli Tahakkuku|805::Saklama Süresi Hakkında Görüş|858::İdari Para Cezasına İtiraz|105.04::Karar Aleyhine İtiraz|110.04::Karara İtiraz Başvurusu|115.02.04::Ruhsat Harcı İadesi Talebi|115.02.11::Aykırılığın Giderilmesi Süresi|115.02.11::Encümen Cezasına İtiraz|175::Damga Süresi Dolan Aletler
belediye,170.01,Ruhsat,170,kuruma_ozel,16,438,3.65,dusuk,602::Yıllık Çalışma Programı|641.04::Dava Konusu İşleme İlişkin Bilgi|755::Yapım İşi Devir Talebi|805::Devir Teslim Tutanağı|805.02::Arşiv Devir Teslim İşlemleri|805.02::Yıllık Arşiv Faaliyet Bildirimi|756.01::Taşınmaz Devir İşlemi Hk.|756.01::Bedelsiz Devir Talebi|115.02::Ruhsat Dosyası Bilgi Talebi|115.02.04::Yapı Ruhsatı Başvurusu|115.02.04::Ruhsat Yenileme Talebi|115.02.04::Yapı Ruhsatı Tadilatı Hk.|115.02.04::Ruhsat Eki Projelerin Onayı|115.02.04::Ruhsat Süresinin Uzatılması|115.02.04::Ruhsat Harcı İadesi Talebi|115.02.08::İskan Ruhsatı Başvurusu
belediye,805.02.05,Arşivlerden Yararlanma,805,ortak,17,438,3.88,dusuk,622.01::Bilgi Edinme Talebinin Reddi Hk.|622.02::Talep Edilen Belgenin Gönderilmesi|622.02::Suret Onay Ücreti Hk.|622.02::Arşivden Belge Çıkarılması Talebi|801::Araç Muayene Randevusu|815::Sosyal İnceleme Raporu Talebi|903::Hizmet Belgesi Talebi|115::Teknik İnceleme Talebi|115.02.01::İmar Durum Belgesi Talebi|115.02.08::Yapı Kullanma İzin Belgesi Talebi|115.02.08::İskan Öncesi Kontrol Randevusu|115.02.10::Numarataj Belgesi Talebi|120.02::Engelli Hizmetlerinden Yararlanma Başvurusu|125::Evlenme Ehliyet Belgesi Talebi|155.01::Sıfır Atık Belgesi Talebi|175::Muayene Randevusu Hk.|180.03::Yerinde İnceleme Randevusu
belediye,105,Meclis İşleri,105,kuruma_ozel,17,438,3.88,dusuk,050::Kurul Toplantı Gündemi|050::Kurul Üyeliği Bildirimi|050::Kurul Toplantı Daveti|050::Toplantı Tutanağının Gönderilmesi|050::Olağanüstü Toplantı Çağrısı|051::Toplantı Tarihi Değişikliği|051::Panel Konuşmacı Daveti|051::Koordinasyon Toplantısı Daveti|602.04::Stratejik Plan Çalıştayı Daveti|752.01::Uzlaşma Görüşmesi Daveti|805::Devir Teslim Tutanağı|807.01::Boya Badana İşleri Hk.|858::İdari Yaptırım Karar Tutanağı|110::Encümen Üyeliği Bildirimi|110::Encümen Toplantı Tutanağı|115.02::Seviye Tespit Tutanağı|115.02.11::Yapı Tatil Tutanağı Hk.
belediye,115.02.08,Yapı Kullanma İzni (İskan Ruhsatı),115,kuruma_ozel,17,438,3.88,dusuk,805.02.05::Arşiv Belgesi Araştırma Talebi|805.02.05::Arşivde İnceleme Randevusu|801::Araç Muayene Randevusu|903::Hizmet Belgesi Talebi|115.02.01::İmar Durum Belgesi Talebi|115.02.04::Yapı Ruhsatı Başvurusu|115.02.04::Yapı Ruhsatı Tadilatı Hk.|115.02.04::Ruhsat Harcı İadesi Talebi|115.02.10::Numarataj Belgesi Talebi|115.02.11::Aykırılığın Giderilmesi Süresi|125::Evlenme Ehliyet Belgesi Talebi|155.01::Sıfır Atık Belgesi Talebi|170.01::İşyeri Açma ve Çalışma Ruhsatı Başvurusu|170.01::Hafta Tatili Ruhsatı Talebi|175::Muayene Randevusu Hk.|180.03::Yerinde İnceleme Randevusu|180.03::Eksikliklerin Giderilmesi Hk.
belediye,641.04,İdari Davalar,641,ortak,18,438,4.11,dusuk,010::Mevzuat Bilgi Sistemi Güncellemesi|622.01::Bilgi Edinme Başvurusu|622.01::Bilgi Edinme Talebinin Reddi Hk.|622.02::Belge Sureti Talebi|622.02::Belge Talebinin Karşılanamaması Hk.|622.02::Arşivden Belge Çıkarılması Talebi|805::Belge Yönetimi Eğitimi Hk.|805::Elektronik Belge Yönetim Sistemi Hk.|858::İdari Para Cezasına İtiraz|858::İdari Yaptırım Karar Tutanağı|903::Özlük Dosyası Bilgi Talebi|903::Personel Bilgi Formunun Gönderilmesi|115::İmar Dosyası Bilgi Talebi|115.02::Ruhsat Dosyası Bilgi Talebi|115.02.01::İmar Durumu Bilgi Talebi|125::Yabancı Uyruklu Eş İçin Belge Talebi|170::Ruhsat Dosyası Bilgi Talebi|170.01::Faaliyet Konusu Değişikliği
belediye,752.01,Kamulaştırma,752,ortak,18,438,4.11,dusuk,050::Kurul Toplantı Daveti|051::Panel Konuşmacı Daveti|051::Koordinasyon Toplantısı Daveti|602.04::Stratejik Plan Çalıştayı Daveti|755.02::İhaleye İtiraz Başvurusu|756.02::Kira Bedeli Artışı Hk.|756.02::İşgal Bedeli Tahakkuku|855::Ödeme Emri Tebliği|858::İdari Para Cezasına İtiraz|105::Meclis Toplantı Daveti|105.04::Karar Aleyhine İtiraz|110.04::Karara İtiraz Başvurusu|115.02::Seviye Tespit Tutanağı|115.02.11::Encümen Cezasına İtiraz|190.01::Harç Bedeli Bilgisi Talebi|190.01::Tarh İşlemine İtiraz|190.01.07::Rayiç Bedel Tespiti Hk.|190.01.07::Taksit Ödeme Bilgisi
belediye,858,İdari Yaptırım/Para Cezası İşleri,858,ortak,18,438,4.11,dusuk,010.06::Genelgenin Yürürlükten Kaldırılması|050.04::Kararın İlgililere Tebliği|752.01::Kamulaştırma İşlemine İtiraz|755.02::İhaleye İtiraz Başvurusu|805::Devir Teslim Tutanağı|756.01::Tahsisin Kaldırılması Talebi|807.01::Boya Badana İşleri Hk.|855::Ödeme Emri Tebliği|105::Meclis Toplantı Tutanağı|105.04::Karar Aleyhine İtiraz|110::Encümen Toplantı Tutanağı|110.04::Encümen Kararının Tebliği|110.04::Para Cezası Kararı Hk.|110.04::Karara İtiraz Başvurusu|115.02::Seviye Tespit Tutanağı|115.02.11::Yapı Tatil Tutanağı Hk.|115.02.11::Encümen Cezasına İtiraz|190.01::Tarh İşlemine İtiraz
belediye,115.02.10,Adres ve Numaralandırma,115,kuruma_ozel,18,438,4.11,dusuk,010::Mevzuat Bilgi Sistemi Güncellemesi|756::Kayıt Düzeltme Talebi|805::Dosya Planı Güncellemesi|805::Elektronik Belge Yönetim Sistemi Hk.|805.02.05::Arşiv Belgesi Araştırma Talebi|801::Taşıt Kayıt ve Sigorta İşlemleri|807.01::Isıtma Sistemi Bakımı|903::Hizmet Belgesi Talebi|934::Ödenek Durumu Sorgusu|115.02.01::İmar Durum Belgesi Talebi|115.02.01::Emsal ve Kat Adedi Sorgusu|115.02.01::İmar Durumundaki Hatanın Düzeltilmesi|115.02.08::Yapı Kullanma İzin Belgesi Talebi|120::Kurs Kayıt Duyurusu|125::Evlenme Ehliyet Belgesi Talebi|155.01::Sıfır Atık Belgesi Talebi|190.01.07::Rayiç Bedel Tespiti Hk.|190.01.07::Mükellefiyet Kaydının Kapatılması
