kod,ana_grup,seviye,ust_kod,ad,saklama_suresi,kapsam,kurum_tipi,vatandas_konusu,ornek_konular,sikayet_cumleleri
622.01,622,2,622,"Bilgi Edinme, Talep ve Şikayetler",10,ortak,hepsi,evet,Bilgi Edinme Başvurusu|CİMER Başvurusunun Değerlendirilmesi|Başvuru Cevabının Gönderilmesi|Dilekçe Cevabı|Bilgi Edinme Talebinin Reddi Hk.|Şikâyet Başvurusu Hk.|Başvuru Süresinin Uzatılması,CİMER üzerinden yaptığım başvuruya otuz gün geçmesine rağmen cevap verilmedi|başvurumun hangi birimde beklediğini öğrenemiyorum|aynı konuda üçüncü kez başvuru yapmama rağmen sonuç alamadım
622.02,622,2,622,Belge Talepleri,10,ortak,hepsi,evet,Onaylı Örnek Talebi|Belge Sureti Talebi|Evrak Örneğinin Gönderilmesi|Talep Edilen Belgenin Gönderilmesi|Belge Talebinin Karşılanamaması Hk.|Suret Onay Ücreti Hk.|Arşivden Belge Çıkarılması Talebi,talep ettiğim belgenin örneği bir aydır düzenlenmedi|belge talebime yazılı bir cevap verilmedi|istediğim evrakın sureti eksik sayfayla gönderildi
641,641,1,,Dava İşleri,,ortak,hepsi,hayir,Savunmaya Esas Bilgi ve Belge Talebi|Dava Dosyasının Gönderilmesi|Dava Süreci Hakkında Bilgilendirme|Duruşma Gününün Bildirilmesi|Temyiz Talebi Hk.|Vekâletname Düzenlenmesi,
641.04,641,2,641,İdari Davalar,40,ortak,hepsi,hayir,İdare Mahkemesi Kararının Uygulanması|Savunmaya Esas Belge Talebi|Yürütmeyi Durdurma Kararı Hk.|Dava Konusu İşleme İlişkin Bilgi|İstinaf Başvurusu Hk.|Karar Örneğinin Gönderilmesi,
752,752,1,,Kamulaştırma ve İrtifak Hakkı İşleri,,ortak,hepsi,hayir,Kamulaştırma İşlemleri Hk.|İrtifak Hakkı Tesisi Talebi|Kamu Yararı Kararının Gönderilmesi|Kamulaştırma Sınırının Belirlenmesi|Tescil İşlemleri Hk.|Bedel Tespit Komisyonu Kararı,
752.01,752,2,752,Kamulaştırma,B,ortak,hepsi,evet,Kamulaştırma Bedeli Ödeme Talebi|Kamu Yararı Kararı Hk.|Kamulaştırma İşlemine İtiraz|Taşınmazın Kamulaştırma Kapsamına Alınması Talebi|Bedel Tespit ve Tescil Davası Hk.|Kamulaştırmasız El Atma İddiası|Uzlaşma Görüşmesi Daveti,taşınmazımın kamulaştırma bedeli iki yıldır ödenmedi|kamulaştırma yapılmadan taşınmazımın üzerinden yol geçirildi|uzlaşma görüşmesine çağrılmadığım hâlde dosya kapatılmış
755,755,1,,Yapım İşleri,,ortak,hepsi,hayir,Yapım İşi Süre Uzatımı Talebi|Geçici Kabul İşlemleri|İş Programının Gönderilmesi|Keşif Artışı Onayı|Yapım İşi Devir Talebi|Sözleşme Feshi Hk.,
755.02,755,2,755,İhale,15,ortak,hepsi,hayir,İhale İlanı Hk.|İhale Komisyonu Kararı|İhale Sonucunun Bildirilmesi|İhaleye İtiraz Başvurusu|Teklif Zarflarının Açılması|Yaklaşık Maliyet Cetveli|İhale Dokümanı Talebi,
756,756,1,,Taşınmaz İşleri,,ortak,hepsi,hayir,Taşınmaz Tahsis Talebi|Taşınmaz Envanter Bilgisi|Taşınmaz Devri Hk.|Kayıt Düzeltme Talebi|Taşınmaz Kullanım İzni|Ecrimisil İşlemleri Hk.,
756.02,756,2,756,Satış ve Kiralama,B,ortak,hepsi,evet,Taşınmaz Kiralama Talebi|Kira Sözleşmesinin Yenilenmesi|Taşınmaz Satış İhalesi Hk.|Kira Bedeli Artışı Hk.|Kiralanan Yerin Tahliyesi|Satış Bedelinin Taksitlendirilmesi Talebi|İşgal Bedeli Tahakkuku,kira sözleşmemin yenilenmesi talebim üç aydır cevaplanmadı|kiraladığım yer için haksız yere tahliye yazısı gönderildi|kira bedeli artışı sözleşmedeki orana aykırı hesaplanmış
773,773,1,,Staj İşleri,10,ortak,hepsi,evet,Staj Başvurusu|Staj Kabul Yazısı Talebi|Staj Değerlendirme Formunun Gönderilmesi|Staj Kontenjanı Bildirimi|Stajyer Sigorta Giriş İşlemleri|Staj Süresinin Uzatılması Talebi|Staj Yerinin Değiştirilmesi,staj başvuru evrakım bir aydır işleme alınmadı|staj kabul yazım verilmediği için işe başlayamadım|staj sigortam yapılmadığı hâlde çalışmaya başlatıldım
805,805,1,,"Bilgi, Belge ve Arşiv Yönetimi",,ortak,hepsi,hayir,Standart Dosya Planı Uygulaması|Belge Yönetimi Eğitimi Hk.|Dosya Planı Güncellemesi|Elektronik Belge Yönetim Sistemi Hk.|Saklama Süresi Hakkında Görüş|Devir Teslim Tutanağı,
805.02,805,2,805,Arşiv Yönetimi,,ortak,hepsi,hayir,Arşiv Devir Teslim İşlemleri|Ayıklama ve İmha Komisyonu Kurulması|Arşiv Malzemesi Bildirimi|İmha Listesinin Onaylanması|Arşiv Deposu Yer Talebi|Yıllık Arşiv Faaliyet Bildirimi,
805.02.05,805,3,805.02,Arşivlerden Yararlanma,10,ortak,hepsi,evet,Arşiv Belgesi Araştırma Talebi|Arşivden Suret Talebi|Araştırma İzni Hk.|Araştırma Süresinin Uzatılması|Belgenin Dijital Kopyasının Gönderilmesi|Araştırma Talebinin Reddi Hk.|Arşivde İnceleme Randevusu,arşiv araştırma başvurum iki aydır sonuçlandırılmadı|istediğim belgenin arşivde bulunmadığı söylendi ancak gerekçe yazılmadı|araştırma iznim gerekçe gösterilmeden reddedildi
602.07,602,2,602,Yatırım Programı,10,ortak,hepsi,hayir,Yatırım Programı Teklifi|Yatırım Ödeneği Talebi|Yatırım Programı Revizyon Talebi|Proje Gerçekleşme Oranı Bildirimi|Ödenek Aktarma Talebi|Yatırım İzleme Raporu|Yeni Proje Teklifi,
755.01,755,2,755,Etüd-Proje ve Fizibilite,30,ortak,hepsi,hayir,Avan Projenin Onaylanması|Etüt Proje Hazırlanması Talebi|Zemin Etüdü Raporunun Gönderilmesi|Uygulama Projesi Revizyonu|Fizibilite Raporu Talebi|Proje Müellifi Değişikliği|Mimari Proje Görüşü,
756.01,756,2,756,"Tahsis, Devir ve Takas",B,ortak,hepsi,hayir,Okul Yeri Tahsis Talebi|Taşınmaz Devir İşlemi Hk.|Tahsis Kararının Gönderilmesi|Tahsisin Kaldırılması Talebi|Takas İşlemi Teklifi|Bedelsiz Devir Talebi,
801,801,1,,Taşıt ve İş Makineleri İşleri,10,ortak,hepsi,hayir,Hizmet Aracı Tahsis Talebi|Araç Görevlendirmesi|Taşıt Kayıt ve Sigorta İşlemleri|Hurdaya Ayrılacak Araç Listesi|Akaryakıt Tüketim Cetveli|İş Makinesi Kiralama Talebi|Araç Muayene Randevusu,
802,802,1,,Ulaşım ve Servis İşleri,10,ortak,hepsi,evet,Servis Güzergâhı Talebi|Servis Hizmeti Aksaklığı Bildirimi|Servis Aracı Görevlendirmesi|Servis Saatlerinin Düzenlenmesi|Yeni Durak Talebi|Servis Kapasitesinin Artırılması|Servis Sözleşmesi Hk.,servis aracı sabahları güzergâhın son durağına hiç uğramıyor|servis saatleri ders programıyla uyuşmadığı için derslere geç kalıyorum|servis aracına kapasitesinin üzerinde yolcu alınıyor
807,807,1,,Bakım ve Onarım İşleri,,ortak,hepsi,hayir,Bakım Onarım Talebi|Onarım Keşif Özeti|Yıllık Bakım Onarım Programı|Arıza Bildirimi|Bakım Sözleşmesi Yenilenmesi|Onarım İşinin Tamamlanması Hk.,
807.01,807,2,807,Bina ve Tesisler,10,ortak,hepsi,evet,Okul Binası Onarım Talebi|Çatı Onarımı Hk.|Tadilat Talebinin Değerlendirilmesi|Isıtma Sistemi Bakımı|Bina Güçlendirme Çalışması|Boya Badana İşleri Hk.|Su Tesisatı Arızası,"okulun çatısı akıtıyor, iki dönemdir onarılmadı|binadaki ısıtma sistemi kış boyunca çalışmadı|tadilat talebimize altı aydır cevap verilmedi"
815,815,1,,Sosyal Yardım İşleri,10,ortak,hepsi,evet,Sosyal Yardım Başvurusu|Nakdi Yardım Talebi|Yardım Başvurusunun Değerlendirilmesi|Ayni Yardım Teslimi Hk.|Sosyal İnceleme Raporu Talebi|Yardım Kesilmesi Hk.|İhtiyaç Sahibi Ailelerin Bildirimi,sosyal yardım başvurum üç aydır sonuçlandırılmadı|yardımım gerekçe gösterilmeden kesildi|sosyal inceleme için evime kimse gelmedi
841,841,1,,Bütçe Hazırlama ve Uygulama İşleri,,ortak,hepsi,hayir,Bütçe Teklifinin Gönderilmesi|Ödenek Aktarma Talebi|Bütçe Uygulama Talimatı|Kesin Hesap Cetveli|Bütçe Görüşmeleri Takvimi|Ek Ödenek Talebi,
841.01,841,2,841,Bütçe Çalışmaları,15,ortak,hepsi,hayir,Bütçe Teklifinin Hazırlanması|Bütçe Hazırlık Çalışmaları|Ödenek Talebi|Gelir Gider Tahmin Cetveli|Bütçe Takviminin Duyurulması|Bütçe Kalemi Değişiklik Teklifi,
855,855,1,,Borç ve Alacak İşleri,15,ortak,hepsi,evet,Borç Yapılandırma Talebi|Alacağın Tahsili Hk.|Borç Bilgisi Talebi|Ödeme Emri Tebliği|Borcun Taksitlendirilmesi|Zamanaşımına Uğramış Alacak Hk.|Tahsilat Makbuzu Talebi,ödediğim borç sistemde hâlâ ödenmemiş görünüyor|yapılandırma başvurum işleme alınmadı|bana ait olmayan bir borç için ödeme emri gönderildi
858,858,1,,İdari Yaptırım/Para Cezası İşleri,15,ortak,hepsi,evet,İdari Para Cezasına İtiraz|İdari Yaptırım Karar Tutanağı|Para Cezası Tahsilatı Hk.|Cezanın Kaldırılması Talebi|Tutanağın Tebliği Hk.|Ceza Tutarının Yeniden Hesaplanması|İtirazın Değerlendirilmesi,kesilen para cezasının tebligatı tarafıma hiç ulaşmadı|aynı fiil için iki kez ceza kesildi|itirazım otuz gün içinde cevaplanmadı
903,903,1,,Personel Özlük İşleri,,ortak,hepsi,hayir,Özlük Dosyası Bilgi Talebi|Personel Bilgi Formunun Gönderilmesi|Hizmet Belgesi Talebi|Emeklilik İşlemleri Hk.|Derece Kademe İlerlemesi|Disiplin Dosyası Bilgisi,
903.02,903,2,903,Atama İşleri,B,ortak,hepsi,hayir,Atama Teklifi|Naklen Atama Talebi|Atama Onayının Gönderilmesi|Görevden Ayrılış Bildirimi|Boş Kadro Bildirimi|Atama Kararının İptali Hk.|Göreve Başlama Yazısı,
934,934,1,,Alım İşi,,ortak,hepsi,hayir,Mal ve Hizmet Alımı Talebi|Alım İhalesi Hk.|Piyasa Fiyat Araştırması|Alım Talebinin Değerlendirilmesi|Teknik Şartname Görüşü|Ödenek Durumu Sorgusu,
934.01,934,2,934,Mal Alım İşi,10,ortak,hepsi,hayir,Mal Alımı İhale Onayı|Muayene ve Kabul İşlemleri|Mal Alımı Teknik Şartnamesi|Kırtasiye Malzemesi Alımı|Teslimat Süresinin Uzatılması|Ürün Numunesi Talebi|Alım Miktarının Artırılması,
105,105,1,,Meclis İşleri,,kuruma_ozel,belediye,hayir,Meclis Gündeminin Gönderilmesi|Meclis Toplantı Daveti|Meclis Üyeliği Hk.|Komisyon Raporunun Sunulması|Gündem Maddesi Teklifi|Meclis Toplantı Tutanağı,
105.04,105,2,105,Meclis Kararları,15,kuruma_ozel,belediye,hayir,Meclis Kararının Gönderilmesi|Meclis Kararı Örneği Talebi|Meclis Kararının Uygulanması|Kararın Büyükşehir Belediyesine Gönderilmesi|Kararın Kesinleşmesi Hk.|Karar Aleyhine İtiraz,
110,110,1,,Encümen İşleri,,kuruma_ozel,belediye,hayir,Encümen Gündemi|Encümen Toplantısı Hk.|Encümene Havale Edilen Dosya|Encümen Üyeliği Bildirimi|Dosyanın Encümene Sevki|Encümen Toplantı Tutanağı,
110.04,110,2,110,Encümen Kararları,B,kuruma_ozel,belediye,hayir,Encümen Kararının Gönderilmesi|Encümen Kararı Örneği Talebi|Encümen Kararının Tebliği|Yıkım Kararının Uygulanması|Para Cezası Kararı Hk.|Karara İtiraz Başvurusu,
115,115,1,,İmar ve Şehircilik İşleri,,kuruma_ozel,belediye,hayir,İmar İşlemleri Hk.|İmar Dosyası Bilgi Talebi|İmar Mevzuatı Uygulaması|İmar Arşivi Kayıt Sorgusu|İmar Uygulaması Askı İlanı|Teknik İnceleme Talebi,
115.01,115,2,115,Planlama ve Uygulama,,kuruma_ozel,belediye,hayir,İmar Planı Askı İlanı|Plan Değişikliği Teklifi|Parselasyon İşlemleri Hk.|Plan Notunun Yorumlanması|İmar Uygulaması Sonucu|Kadastro Paftası Talebi,
115.01.06,115,3,115.01,Uygulama İmar Planı,B,kuruma_ozel,belediye,evet,Uygulama İmar Planı Değişikliği Talebi|Plan Askı İtirazı|Uygulama İmar Planı Onayı Hk.|Plan Tadilatı Başvurusu|Yoğunluk Artışı Talebi|Plan Örneği Talebi|Askı Süresinin Duyurulması,plan değişikliği talebim bir yıldır meclise sunulmadı|askı süresi içinde itiraz ettiğim hâlde cevap verilmedi|parselimin plandaki durumu komşu parsellerden farklı belirlenmiş
115.01.08,115,3,115.01,İfraz ve Tevhid / Yola Terk / İrtifak Hakkı vb.,B,kuruma_ozel,belediye,evet,İfraz ve Tevhid Talebi|Yola Terk İşlemi Hk.|İrtifak Hakkı Tesisi Talebi|Tevhit Dosyasının İncelenmesi|Şuyulandırma İşlemi Hk.|İhdas Talebi|Encümene Sevk Edilen İfraz Dosyası,ifraz dosyam altı aydır encümene sevk edilmedi|yola terk işlemim tamamlanmadığı için tapu işlemim durdu|tevhit talebim gerekçe yazılmadan reddedildi
115.02,115,2,115,Yapı İşleri,,kuruma_ozel,belediye,hayir,Yapı İşlemleri Hk.|Ruhsat Dosyası Bilgi Talebi|Yapı Denetim İşlemleri|Şantiye Şefi Bildirimi|Yapı Denetim Hakediş Onayı|Seviye Tespit Tutanağı,
115.02.01,115,3,115.02,İmar Durumu (Belgesi),B,kuruma_ozel,belediye,evet,İmar Durum Belgesi Talebi|Parsel İmar Durumu Hk.|İmar Durumu Bilgi Talebi|İmar Durumunun Yenilenmesi|Çekme Mesafeleri Hk.|Emsal ve Kat Adedi Sorgusu|İmar Durumundaki Hatanın Düzeltilmesi,imar durum belgem bir aydır düzenlenmedi|verilen imar durumunda parselimin alanı yanlış yazılmış|aynı adada farklı imar durumu verildiği hâlde gerekçe açıklanmadı
115.02.04,115,3,115.02,Yapı Ruhsatı,B,kuruma_ozel,belediye,evet,Yapı Ruhsatı Başvurusu|Ruhsat Yenileme Talebi|Yapı Ruhsatı Tadilatı Hk.|Ruhsat Eki Projelerin Onayı|Ruhsat Süresinin Uzatılması|Müteahhit Değişikliği Bildirimi|Ruhsat Harcı İadesi Talebi,ruhsat başvurum iki aydır sonuçlandırılmadı|eksik evrak denilerek başvurum iade edildi ancak hangi evrak olduğu yazılmadı|harcı yatırdığım hâlde ruhsat yenileme talebim işleme alınmadı
115.02.08,115,3,115.02,Yapı Kullanma İzni (İskan Ruhsatı),B,kuruma_ozel,belediye,evet,Yapı Kullanma İzin Belgesi Talebi|İskan Ruhsatı Başvurusu|Kısmi İskan Talebi|İskan Öncesi Kontrol Randevusu|Eksikliklerin Giderilmesi Hk.|İskan Harcı Hesabı|Bağımsız Bölüm Listesi,iskan başvurum üç aydır bekliyor|kontrole gelen görevli eksik olmadığı hâlde rapor düzenlemedi|kısmi iskan talebim değerlendirilmeden reddedildi
115.02.10,115,3,115.02,Adres ve Numaralandırma,B,kuruma_ozel,belediye,evet,Numarataj Belgesi Talebi|Adres Tespiti Hk.|Kapı Numarası Verilmesi Talebi|Bina Kod Numarası Sorgusu|Sokak Adı Değişikliği Bildirimi|Adres Kayıt Sistemi Güncellemesi|Yanlış Adres Kaydının Düzeltilmesi,binamın kapı numarası hâlâ verilmedi|adres kayıt sisteminde dairem yanlış blokta görünüyor|numarataj belgesi talebime bir aydır cevap verilmedi
115.02.11,115,3,115.02,Kaçak ve Ruhsata Aykırı Yapılar,,kuruma_ozel,belediye,evet,Ruhsata Aykırı Yapı İhbarı|Yapı Tatil Tutanağı Hk.|Kaçak Yapı Şikâyeti|Mühürleme İşlemi Hk.|Yıkım Kararının Uygulanması|Aykırılığın Giderilmesi Süresi|Encümen Cezasına İtiraz,"komşu parselde ruhsatsız inşaat sürüyor, ihbarıma işlem yapılmadı|mühürlenen yapıda çalışma devam ediyor|yapı tatil tutanağı tebliğ edilmeden ceza kesildi"
120,120,1,,Kültürel ve Sosyal İşler,,kuruma_ozel,belediye,hayir,Kurs ve Etkinlik Programı|Sosyal Destek Çalışmaları Hk.|Kültür Merkezi Salon Tahsisi|Kurs Kayıt Duyurusu|Etkinlik İşbirliği Teklifi|Sosyal Tesis Kullanımı,
120.02,120,2,120,Engellilere Yönelik Hizmetler,10,kuruma_ozel,belediye,evet,Engelli Aracı Talebi|Engelli Erişim Düzenlemesi Talebi|Engelli Hizmetlerinden Yararlanma Başvurusu|Refakatçi Desteği Talebi|Engelli Park Yeri Tahsisi|Evde Bakım Hizmeti Başvurusu|Rampa Yapılması Talebi,kaldırımda rampa olmadığı için tekerlekli sandalyeyle geçemiyorum|engelli araç talebim bir yıldır sırada bekliyor|evde bakım hizmeti başvurumdan hiçbir sonuç alamadım
125,125,1,,Evlendirme İşlemleri,10,kuruma_ozel,belediye,evet,Evlenme Başvurusu Hk.|Evlenme Ehliyet Belgesi Talebi|Nikâh Tarihi Talebi|Nikâh Salonu Tahsisi|Evlenme Dosyasının İncelenmesi|Yabancı Uyruklu Eş İçin Belge Talebi|Nikâh Ücreti Hk.,nikâh başvurum için verilen randevu iptal edildi|evlenme ehliyet belgem iki haftadır düzenlenmedi|nikâh salonu tahsisi talebime cevap verilmedi
155,155,1,,Çevre Koruma ve Kontrol İşleri,,kuruma_ozel,belediye,hayir,Çevre Denetimi Hk.|Çevre Kirliliği İncelemesi|Çevre Koruma Çalışmaları|Gürültü Ölçüm Talebi|Denetim Raporunun Gönderilmesi|Çevre İzni Görüşü,
155.01,155,2,155,Atık Yönetimi,10,kuruma_ozel,belediye,evet,Çöp Toplama Talebi|Atık Konteyneri Talebi|Hafriyat Atığı Şikâyeti|Konteyner Yerinin Değiştirilmesi|Ambalaj Atığı Toplama Sözleşmesi|Sıfır Atık Belgesi Talebi|Tıbbi Atık Bertarafı Hk.,"sokağımızdaki konteyner haftalardır boşaltılmıyor|inşaat molozları yan taraftaki boş arsaya dökülüyor|konteyner binamızın önüne konuldu, koku sorunu yaşıyoruz"
170,170,1,,İşyeri Açma ve Çalışma Ruhsatı İşlemleri,,kuruma_ozel,belediye,hayir,İşyeri Ruhsat İşlemleri Hk.|Ruhsat Denetimi|Ruhsat Dosyası Bilgi Talebi|Ruhsatsız İşyeri Bildirimi|Sınıf Değişikliği Hk.|Ruhsat İptali İşlemi,
170.01,170,2,170,Ruhsat,B,kuruma_ozel,belediye,evet,İşyeri Açma ve Çalışma Ruhsatı Başvurusu|Ruhsat Devir Talebi|Hafta Tatili Ruhsatı Talebi|Faaliyet Konusu Değişikliği|Ruhsat Sureti Talebi|Mesul Müdür Değişikliği Bildirimi|Ruhsatın Askıya Alınması Hk.,ruhsat başvurum iki aydır sonuçlandırılmadı|devir talebim eksik evrak denilerek iade edildi ancak eksik belirtilmedi|komşumdaki işyeri ruhsatsız çalıştığı hâlde denetlenmiyor
175,175,1,,Ölçü ve Ölçü Aletleri ile İlgili İşler,10,kuruma_ozel,belediye,evet,Ölçü Aleti Beyannamesi|Terazi Damgalama Başvurusu|Periyodik Muayene Talebi|Muayene Randevusu Hk.|Damga Süresi Dolan Aletler|Ölçü Aleti Tamir İzni|Muayene Ücreti Hk.,terazi damgalama başvurum sezon boyunca sıraya alınmadı|muayene randevusu verilmediği için işyerim denetimde ceza aldı|beyannamemin alındığına dair hiçbir belge verilmedi
180,180,1,,İtfaiye İşleri,,kuruma_ozel,belediye,hayir,İtfaiye Hizmetleri Hk.|Yangın İhbar Raporu|Tatbikat Planlaması|Yangın Güvenlik Önlemleri|İtfaiye Eğitimi Talebi|Baca Temizliği Hk.,
180.03,180,2,180,İtfaiye Uygunluk Raporları,15,kuruma_ozel,belediye,evet,İtfaiye Uygunluk Raporu Talebi|Yangın Güvenliği Raporu Başvurusu|Uygunluk Raporu Yenileme Talebi|Yerinde İnceleme Randevusu|Eksikliklerin Giderilmesi Hk.|Rapor Sureti Talebi|Yangın Merdiveni Uygunluğu,uygunluk raporu talebim geciktiği için ruhsat sürem doldu|yerinde inceleme için gelmesi gereken ekip iki kez randevuya gelmedi|raporum düzenlendiği hâlde tarafıma gönderilmedi
190,190,1,,"Gelir (Tarh, Tahakkuk ve Tahsilat) İşleri",,kuruma_ozel,belediye,hayir,Gelir Tahakkuk İşlemleri|Tahsilat Bilgisi Talebi|Vergi ve Harç Uygulaması Hk.|Gelir Kaybı Bildirimi|Tarife Cetveli Talebi|Tahsilat Cetvelinin Gönderilmesi,
190.01,190,2,190,Vergi ve Harçlar,,kuruma_ozel,belediye,hayir,Vergi Tahakkuku Hk.|Harç Bedeli Bilgisi Talebi|Beyan Süresi Duyurusu|Harç İadesi Talebi|Tarh İşlemine İtiraz|Vergi Muafiyeti Görüşü,
190.01.07,190,3,190.01,Emlak Vergisi,15,kuruma_ozel,belediye,evet,Emlak Vergisi Beyanı|Emlak Vergisi Borç Sorgulama Talebi|Emlak Vergisi Muafiyet Başvurusu|Rayiç Bedel Tespiti Hk.|Mükellefiyet Kaydının Kapatılması|Vergi Değeri Düzeltme Talebi|Taksit Ödeme Bilgisi,sattığım daire için hâlâ emlak vergisi tahakkuk ediyor|muafiyet başvurum belgeleri teslim ettiğim hâlde işleme alınmadı|rayiç bedel komşu parsellerden çok yüksek belirlenmiş
102,102,1,,Tanıma ve Denklik İşleri,,kuruma_ozel,universite,hayir,Okul Tanıma Talebi|Denklik Başvurusu Hk.|Tanıma Belgesi Talebi|Yurtdışı Kurum Tanınırlığı Sorgusu|Denklik Dosyası Bilgi Talebi|Tanıma Kararının Gönderilmesi,
102.03,102,2,102,Denklik İşleri,B,kuruma_ozel,universite,evet,Diploma Denklik Başvurusu|Denklik Belgesi Talebi|Denklik Kararına İtiraz|Seviye Tespit Sınavı Duyurusu|Denklik Dosyası Eksik Evrak Bildirimi|Denklik Başvurusunun Sonuçlandırılması|Mezuniyet Belgesi Doğrulama Talebi,denklik başvurum bir yıldır sonuçlandırılmadı|dosyama eksik evrak yazıldı ancak hangisi olduğu bildirilmedi|itirazıma altmış gün geçmesine rağmen cevap verilmedi
104,104,1,,Eğitim - Öğretim Programları,,kuruma_ozel,universite,hayir,Program Güncelleme Hk.|Ders Yükü Bilgisi|Müfredat Değişikliği Teklifi|Program Akreditasyon Başvurusu|Ders İçeriklerinin Gönderilmesi|Program Kapatma Teklifi,
104.01,104,2,104,Program Açma,15,kuruma_ozel,universite,hayir,Yeni Program Açma Teklifi|Program Açma Başvurusu Hk.|Kontenjan Talebi|Öğretim Elemanı Yeterlilik Bildirimi|Program Açma Dosyasının Tamamlanması|Bölüm Kurulması Teklifi,
106,106,1,,Sınav Programları ve Sınavlar,2,kuruma_ozel,universite,hayir,Sınav Programının Duyurulması|Mazeret Sınavı Takvimi|Bütünleme Sınav Programı|Sınav Salonu Tahsisi|Sınav Gözetmeni Görevlendirmesi|Sınav Tarihi Değişikliği|Tek Ders Sınavı Duyurusu,
201,201,1,,Seçim ve Atama İşleri,15,kuruma_ozel,universite,hayir,Dekan Atama Teklifi|Bölüm Başkanı Görevlendirmesi|Atama Onayı Hk.|Senato Üyeliği Seçimi|Yönetim Kurulu Üyesi Seçimi|Görev Süresi Uzatımı|Anabilim Dalı Başkanı Ataması,
204,204,1,,Unvan ve Yeterlilik Sınavları,,kuruma_ozel,universite,hayir,Jüri Görevlendirmesi|Sınav Sonucunun Bildirilmesi|Unvan İşlemleri Hk.|Yeterlilik Sınavı Takvimi|Jüri Raporlarının Gönderilmesi|Sınav Yerinin Belirlenmesi,
204.01,204,2,204,Doçentlik,15,kuruma_ozel,universite,hayir,Doçentlik Jüri Üyeliği Görevlendirmesi|Doçentlik Eser İnceleme Raporu|Doçentlik Sözlü Sınavı Hk.|Sınav Jürisi Değişikliği|Başvuru Dosyasının Gönderilmesi|Sınav Sonuç Tutanağı,
209,209,1,,Akademik Personel Görevlendirmeleri,15,kuruma_ozel,universite,hayir,39. Madde Görevlendirme Talebi|Yurtdışı Görevlendirme Onayı|Ders Görevlendirmesi Hk.|Görevlendirme Süresinin Uzatılması|35. Madde Kapsamında Görevlendirme|Kurum Dışı Ders Görevi Talebi|Görevlendirme İptali Bildirimi,
