birim_kodu,birim_adi,ust_birim_kodu,hiyerarsi_seviyesi,gorev_alani,sdp_kodlari,vatandas_yogunlugu,imza_unvani,tipik_muhataplar,kaynak,detsis_no
yapi_kontrol,Yapı Kontrol Müdürlüğü,baskan_yrd_4,2,"İlçe sınırlarında denetim yaparak ruhsatsız ve ruhsata aykırı yapıları tespit eder, yapı tatil tutanağı düzenleyerek encümene sevk eder. Yapı denetim kuruluşlarının hakediş ve seviye tespit işlemlerini takip eder, kaçak yapı ihbarlarını değerlendirir.",115.02.11;641.04;858;622.01,yuksek,Müdür,vatandas;ozel_tuzel_kisi;kurum_ici,"3194 s. İmar Kanunu m.32, 42; 4708 s. Yapı Denetimi Kanunu; DETSİS kaydı (06.08.2026)",53265760
emlak_istimlak,Emlak ve İstimlak Müdürlüğü,baskan_yrd_5,2,"Belediye taşınmazlarının envanterini tutar; satış, kiralama, tahsis, devir ve takas işlemlerini 2886 sayılı Kanun hükümlerine göre yürütür. Kamulaştırma ve irtifak hakkı işlemlerini yapar, kira sözleşmelerini ve tahsilatını takip eder.",752.01;756.01;756.02;641.04,orta,Müdür,vatandas;ozel_tuzel_kisi;buyuksehir_belediyesi;kurum_ici,2942 s. Kamulaştırma Kanunu; 2886 s. Devlet İhale Kanunu; DETSİS kaydı (06.08.2026),87730597
ruhsat_denetim,Ruhsat ve Denetim Müdürlüğü,baskan_yrd_4,2,"Sıhhi, gayrisıhhi ve umuma açık istirahat ve eğlence yerlerine işyeri açma ve çalışma ruhsatı düzenler; ruhsat devir, tadil ve iptal işlemlerini yürütür. Ölçü ve tartı aletlerinin beyan ve periyodik muayene işlemlerini yapar.",170.01;175;858;622.01;180.03,yuksek,Müdür,vatandas;ozel_tuzel_kisi;kurum_ici,İşyeri Açma ve Çalışma Ruhsatlarına İlişkin Yönetmelik; 3516 s. Ölçüler ve Ayar Kanunu; DETSİS kaydı (06.08.2026),59553370
zabita,Zabıta Müdürlüğü,baskan_yrd_5,2,"Belde düzeni, esnaf denetimi, pazar yerleri ve seyyar satıcılarla ilgili tedbirleri alır. Belediye yasaklarına aykırılıklarda idari yaptırım karar tutanağı düzenler. Encümen kararlarının tebliğ ve uygulanmasında görev alır.",858;622.01;170.01,yuksek,Müdür,vatandas;ozel_tuzel_kisi;kaymakamlik;kurum_ici,Belediye Zabıta Yönetmeliği; 5326 s. Kabahatler Kanunu; DETSİS kaydı (06.08.2026),50719027
fen_isleri,Fen İşleri Müdürlüğü,baskan_yrd_5,2,"Yol, kaldırım ve üstyapı yapım ile bakım-onarım işlerini yürütür. Belediye hizmet binaları ile devlet okulları ve mabetlerin onarımını yapar veya yaptırır. Yapım işlerinin etüt-proje, ihale, uygulama ve hakediş süreçlerini yönetir.",755.01;755.02;807.01;934.01;602.07,orta,Müdür,vatandas;ozel_tuzel_kisi;buyuksehir_belediyesi;kurum_ici,5393 s. Kanun m.14/b; Sayıştay 2024 Denetim Raporu Bulgu 9-14; DETSİS kaydı (06.08.2026),33152401
temizlik_isleri,Temizlik İşleri Müdürlüğü,baskan_yrd_2,2,"Evsel katı atıkların toplanması ve taşınması ile cadde-sokak süpürme ve yıkama hizmetlerini yürütür. Konteyner temini, bakımı ve dezenfeksiyonunu sağlar. Hafriyat ve moloz kaynaklı kirlilik şikayetlerini değerlendirir.",155.01;934.01;622.01,orta,Müdür,vatandas;ozel_tuzel_kisi;buyuksehir_belediyesi;kurum_ici,2872 s. Çevre Kanunu; 5393 s. Kanun m.14/a; DETSİS kaydı (06.08.2026),83011479
kultur_sanat_sosyal,"Kültür, Sanat ve Sosyal İşler Müdürlüğü",baskan_yrd_2,2,"Meslek edindirme ve hobi kursları ile kültür-sanat etkinliklerini düzenler, sosyal tesis ve kültür merkezlerini işletir. İhtiyaç sahibi kişi ve ailelere ayni ve nakdi sosyal yardım sağlar. Engelli ve yaşlı vatandaşlara yönelik destek hizmetlerini yürütür.",815;120.02;051;773;622.01,yuksek,Müdür,vatandas;ozel_tuzel_kisi;universite;kurum_ici,5393 s. Kanun m.14/a; DETSİS kaydı (06.08.2026),85330682
hukuk_isleri,Hukuk İşleri Müdürlüğü,baskan_yrd_3,2,"Belediye birimlerinin hukuki görüş taleplerini karşılar ve mütalaa verir. Kurumun taraf olduğu adli ve idari davalarda belediyeyi temsil eder, dava ve icra takiplerini yürütür. Encümen ve meclis kararlarının hukuka uygunluğunu değerlendirir.",045.02;641.04;858;622.01,dusuk,Müdür,kurum_ici;vatandas;ozel_tuzel_kisi,5393 s. Kanun m.15; 659 s. KHK; DETSİS kaydı (06.08.2026),10578106
makine_ikmal,Makine İkmal Bakım ve Onarım Müdürlüğü,baskan_yrd_4,2,"Belediye hizmet araçları ile iş makinelerinin tahsis, görevlendirme, akaryakıt ve sigorta işlemlerini yürütür. Araç ve iş makinesi bakım-onarımını yapar veya yaptırır, yedek parça ve malzeme alım süreçlerini yönetir.",801;802;934.01,dusuk,Müdür,kurum_ici;ozel_tuzel_kisi;buyuksehir_belediyesi,5393 s. Kanun m.15; Taşıt Kanunu (237 s.); DETSİS kaydı (06.08.2026),89052714
muhtarlik_isleri,Muhtarlık İşleri Müdürlüğü,baskan_yrd_1,2,"Muhtarlardan ve vatandaşlardan gelen talep, istek ve şikayetleri kayda alır, ilgili müdürlüklere yönlendirir ve sonucunu başvuru sahibine bildirir. CİMER, çağrı merkezi ve bilgi edinme başvurularının takibini yapar.",622.01;622.02;805.02.05,yuksek,Müdür,vatandas;kurum_ici;kaymakamlik,3071 s. Dilekçe Hakkı Kanunu; 4982 s. Bilgi Edinme Hakkı Kanunu; DETSİS kaydı (06.08.2026),26888327
